"","id","converted_sample_01.fasta.fq_kallisto","converted_sample_02.fasta.fq_kallisto","converted_sample_03.fasta.fq_kallisto","converted_sample_04.fasta.fq_kallisto","converted_sample_05.fasta.fq_kallisto","converted_sample_06.fasta.fq_kallisto","converted_sample_07.fasta.fq_kallisto","converted_sample_08.fasta.fq_kallisto","converted_sample_09.fasta.fq_kallisto","converted_sample_10.fasta.fq_kallisto","converted_sample_11.fasta.fq_kallisto","converted_sample_12.fasta.fq_kallisto","converted_sample_13.fasta.fq_kallisto","converted_sample_14.fasta.fq_kallisto","converted_sample_15.fasta.fq_kallisto","converted_sample_16.fasta.fq_kallisto"
"102683","ENST00000301178.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"102734","ENST00000634671.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"102799","ENST00000642412.1",279.18,248.131,248.136,294.656,387.705,431.354,201.607,247.808,201.607,232.623,387.707,294.663,325.672,294.656,279.174,294.656
"102800","ENST00000401850.5",0,0,0,0,0,0,0,6.13425,0,0,0,0,0,0,0,0
"102801","ENST00000381278.4",0.394377,0.000196824,0.0919415,0,0,1.80522e-08,2.5306e-05,0.786584,0.000174561,0,7.93895e-05,0.00809313,0,0,0.139591,0
"102805","ENST00000249005.3",130.425,142.869,201.772,139.344,84.2952,11.6457,234.393,136.271,249.393,154.377,58.2927,103.329,99.3279,119.344,153.686,131.344
"102818","ENST00000394809.8",1,2,0,0,0,0,0,0,0,0,1.2037,0,0,0,0,0
"102937","ENST00000588953.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"103246","ENST00000542569.5",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"103284","ENST00000505479.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"103435","ENST00000596799.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"103521","ENST00000524388.5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"103601","ENST00000253115.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00017,0
"103699","ENST00000610913.1",661,941,866,788,747,842,850,949,763,853,769,742,859,812,786,868
"103859","ENST00000321545.4",0,0,1.01728,0,0,0,0,0,0,0,0,0,0,0,0,0
"103933","ENST00000616566.4",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"104055","ENST00000348706.9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"104145","ENST00000647518.1",23.0116,7.67183,3.17094,10.4252,20.3359,7.83556,12.6718,10.3378,30.2485,18.0171,26.5156,25.0194,27.7086,6.37792,22.6835,23.6796
"104261","ENST00000487605.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"104318","ENST00000439248.5",310.928,239.416,317.709,337.757,346.543,258.487,301.554,265.117,305.558,320.396,330.257,317.704,262.603,235.891,273.093,292.276
"104319","ENST00000266254.11",303.072,265.958,384.291,281.058,397.437,334.513,298.758,353.041,414.442,270.601,459.743,305.136,384.545,382.951,368.037,361.84
"104320","ENST00000440761.1",0,37.6264,4.81772e-08,25.1848,0.0201122,4.35184e-06,42.6873,57.1924,3.87363e-07,0.00250905,7.96617e-08,20.1599,48.8525,60.1578,34.8697,35.8847
"104321","ENST00000331018.8",0,0,0,0,0,0,0,7.64963,0,0,0,0,0,0,0,0
"104322","ENST00000329099.4",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"104371","ENST00000618502.4",40.0515,37.3323,29.4312,25.1156,23.8838,28.4332,24.6293,13.6882,12.5331,13.5264,14.6589,22.2922,19.7632,31.4007,16.96,18.6224
"104372","ENST00000627998.2",10.0541,0,10.0846,11.5052,5.05712,4.56683,10.8399,1.45463,3.75559,1.72135,8.85129,9.56714,7.68339,13.9529,2.49631,8.68874
"104373","ENST00000619254.4",1084.37,992.346,991.466,1088.58,978.571,1036.14,1013.3,1144.49,650.502,509.857,624.577,675.068,632.92,558.976,627.374,529.614
"104374","ENST00000628119.2",0,7.87264,0,0,4.64506,0,0,8.83185,0,10.6987,0,0.141348,0,0,3.69201,0
"104375","ENST00000629072.2",0,0,0,1.375,0,0,0,0,0,0,0,0,0,0,0,0
"104377","ENST00000630215.2",0,5.60432,0,0,0,3.21743,0,0,0,0,0,0,5.10524,0,4.21869,0
"104379","ENST00000630945.2",0.210544,0.802965,1.63087,0,0,2.17586,0,0,0,0.780712,0.72243,0,2.77855e-05,0.741959,0,0.720729
"104381","ENST00000625546.2",0,0,0,0,0,3.73663e-06,0,0,0,0,0,0,0,0,0,0
"104382","ENST00000630108.2",0,0,0,0.678585,0,0.689851,0,0,0,0,0,0.673814,0,0,0,0.63043
"104383","ENST00000631313.2",11.9524,13.4536,18.9323,12.8495,13.3027,14.686,20.314,9.85978,14.7937,15.1504,9.732,11.8244,12.8827,9.88945,18.8492,16.2195
"104384","ENST00000627257.2",0,0,0,0,0,0,2.42168,0,0,0,0,0,0,2.3534,0,0
"104386","ENST00000628520.2",0.0175673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104387","ENST00000620942.4",51.3632,91.0777,97.4539,59.6567,87.1805,80.6004,89.4646,79.3892,36.4155,44.7638,16.888,71.4575,41.8167,92.6852,33.4101,71.9824
"104389","ENST00000626541.1",0,0,0,0,4.00757,0,0,0,0,0,0,0,0,0,0,0
"104391","ENST00000631328.1",0.875274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104392","ENST00000618114.2",2.60096,0.010036,0.00102963,18.7358,17.3522,0.588138,9.53345,12.7852,0,0.00193795,0.0701691,9.47524,3.32918,3.70743e-07,0,0.0218923
"104562","ENST00000575234.1",0,0,0,0,1.25546,0,0,0,0,0,0,0,0,0,0,1.0814
"104570","ENST00000612186.1",0,0,0,0,0,0,0,0,0,0,1.63385,0,0,0,0,0
"104571","ENST00000238616.9",0,0,0,0,0,1.00014,0,0,0,0,0,0,0,0,0,0
"104575","ENST00000556170.5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"104808","ENST00000398475.5",0,0,1.4413,0,0,0,0.220651,0,0,0,3,0,0,1,0,0
"104831","ENST00000403586.5",1.44075,167.953,124.099,138.275,11.0597,4.84205,37.1784,10.6595,0.013138,34.542,50.2644,149.479,0.171325,3.29739,41.3018,26.8192
"104832","ENST00000382932.2",520.559,311.047,296.508,298.271,508.996,447.005,421.822,517.341,466.729,450.458,475.398,301.521,456.426,449.703,446.325,450.181
"104833","ENST00000426145.1",0,0,1.39287,2.45442,3.94443,1.15321,0,0,1.25788,0,5.33774,0,1.40227,0,1.37279,0
"104958","ENST00000529228.5",0,0,1.65189,0,0,0,0,0,0.667086,0,0,0,0,0.278287,0,0
"105026","ENST00000463657.1",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"105027","ENST00000474545.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"105220","ENST00000216185.6",47.4595,37.3902,57.331,55.1012,53.6144,10.8662,59.3867,46.8286,69.2801,66.6878,57.3718,38.199,57.8469,22.3471,61.8378,24.1884
"105221","ENST00000416967.1",198.038,225.548,232.59,170.48,230.112,238.1,235.921,195.035,193.866,211.655,162.445,220.464,195.386,281.898,152.591,176.527
"105222","ENST00000487725.1",0,0,0,0.000368003,7.10262e-06,0,0,0,0,0,0,0,0,0,0,0
"105223","ENST00000403313.5",0,8.87913,25.0778,0.000575457,1.76286e-06,17.1771,4.03188,12.9719,0,0.00128986,7.22572,1.14456,0,9.08092,15.6863,15.9983
"105224","ENST00000411915.1",14.5026,25.1827,0.000815528,6.41734,9.27397,26.8564,19.6602,17.1643,7.85437,14.656,18.9575,26.192,21.7666,31.6743,2.88535,8.28599
"105327","ENST00000597612.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105386","ENST00000630269.2",0,0,0,0,0,0,0,0,0,0.999989,0,0,0,0,0,0.999997
"105392","ENST00000475957.1",0,0,0,0,0,0,0,0,0,1.11118e-05,0,0,0,0,0,3.16528e-06
"105394","ENST00000359890.7",0,0,0,0,0,0,0,0,0,0,0,2.06365,0,0,1.03634,0
"105396","ENST00000557667.5",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"105647","ENST00000422989.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"105729","ENST00000417486.6",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"105877","ENST00000321385.5",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106039","ENST00000494047.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"106071","ENST00000537020.5",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"106204","ENST00000479005.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106265","ENST00000216068.8",330.367,321,298.056,261,271.095,346.024,318,279.937,316,252.24,260,280,366.058,287,288,300.793
"106266","ENST00000486019.1",0,0,0,0,16.9048,0,0,0.0632016,0,0,0,0,0,0,0,0
"106267","ENST00000406199.3",2.63303,0,1.94405,0,0,1.97606,0,0,0,1.68602,0,0,1.94236,0,0,4.20695
"106274","ENST00000479870.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"106546","ENST00000540952.5",0.0564187,0.000365231,2.25056,0.011565,30.636,89.504,77.5379,77.9758,62.617,15.1266,97.3431,79.4812,0,86.5722,52.0121,1.1708e-05
"106547","ENST00000544346.5",90.4033,68.1279,68.7607,82.1083,53.8728,21.4266,34.1973,18.0536,22.9107,72.0046,10.6652,50.2651,100.678,3.14089,49.7442,91.1285
"106550","ENST00000608409.5",0,0,1.25906,0,0.313483,0,0,0,0,0,0,0,0,0,0.000312191,0
"106551","ENST00000424706.5",0,0,0,0,3.17418,0,0,0,0,0,0,0,0,0,0,0
"106554","ENST00000535113.5",1981.54,1837.87,1895.73,1811.88,1989,1895.07,1779.36,1871.53,2053.47,2040.87,1840.99,1958.91,1806.38,1868.29,1969.3,1872.87
"106555","ENST00000543828.1",0,0,0,0,0,0,0,0,0,0,0,2.34426,0,0,0,0
"106731","ENST00000487068.1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"106766","ENST00000321844.6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"106851","ENST00000307216.10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"107135","ENST00000205061.9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"107239","ENST00000463046.5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"107299","ENST00000375826.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00013,0
"107326","ENST00000452959.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"107353","ENST00000510834.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"107415","ENST00000474649.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"107499","ENST00000216121.11",782,827,821,888.7,800,843.548,862,764.811,820,798,739,886,888,788,879,904
"107501","ENST00000415100.5",0,0,0,0,0,4.45158,0,0,0,0,0,0,0,0,0,0
"107502","ENST00000455496.1",0,0,0,2.30042,0,0,0,0,0,0,0,0,0,0,0,0
"107559","ENST00000467358.5",0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
"107707","ENST00000530096.1",0,0,0,0,0,0,0,0.53127,0,0,1,1,0,0,0.531695,1
"107830","ENST00000395699.3",0,0,1,2,1,3,3,0,0,0,1,1,1,2,0,1
"108266","ENST00000479770.1",0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
