"","id","converted_sample_01.fasta.fq_quant","converted_sample_02.fasta.fq_quant","converted_sample_03.fasta.fq_quant","converted_sample_04.fasta.fq_quant","converted_sample_05.fasta.fq_quant","converted_sample_06.fasta.fq_quant","converted_sample_07.fasta.fq_quant","converted_sample_08.fasta.fq_quant","converted_sample_09.fasta.fq_quant","converted_sample_10.fasta.fq_quant","converted_sample_11.fasta.fq_quant","converted_sample_12.fasta.fq_quant","converted_sample_13.fasta.fq_quant","converted_sample_14.fasta.fq_quant","converted_sample_15.fasta.fq_quant","converted_sample_16.fasta.fq_quant"
"71895","ENST00000398145.6",1640.7,1935.43,1798.28,1883.41,1735.78,1637.45,1857.59,1690.46,1882.84,1753.52,1743.25,1776.28,1740.07,1878.22,1816.69,1665.04
"71896","ENST00000429411.5",949.128,824.842,752.925,961.073,875.405,928.777,849.703,748.62,674.564,899.998,866.367,628.394,815.308,824.38,876.368,707.155
"71897","ENST00000464362.5",0,0,0,0,0,7.81884,0,0,0,0,0,0,0,0,0,0
"71898","ENST00000402105.7",569.14,605.942,573.799,593.841,839.753,549.751,575.494,614.272,556.821,674.634,640.921,578.012,525.966,776.837,609.588,506.075
"71900","ENST00000439453.5",0.0136358,2.4961,58.9615,0.226781,0.000119549,55.3737,0.331585,40.1129,146.444,0.0102441,9.69589,337.587,151.004,0.154035,39.6433,158.287
"71901","ENST00000466781.5",2.20551,6.70141,0,2.3216,2.26016,0,2.31165,4.49821,4.50555,4.43872,4.4714,16.8927,4.45772,2.2318,2.22155,11.0686
"71902","ENST00000496385.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23159,2.87534
"71904","ENST00000422379.2",0,0,0,0.000218251,0,57.0139,2.25822,0,0,0,0,0,0.178657,0,0,0
"71905","ENST00000459918.1",0,0,0,0,0,0,0,0,0,0.0063754,0,0,0,0,0,8.50931
"71906","ENST00000481910.1",0,0,0,0,0,0,1.13547,1.12551,0,0,0,0,0,0,0,0
"71907","ENST00000483631.1",30.0416,38.1895,51.6687,45.9144,39.8852,30.1308,47.1681,46.767,7.2776,48.6547,23.5641,3.07266,42.2205,43.4171,41.855,11.4573
"71908","ENST00000479064.5",2.8948,5.58968,2.43285,10.423,12.4392,7.8658,8.03571,2.39621,2.62359,2.80209,6.97473,0.729122,0,0,9.105,7.16355
"71986","ENST00000215794.7",301.307,415.804,433.882,397.725,377.638,420.825,450.956,411.786,392.703,348.908,374.625,430.534,457.986,300.303,376.634,348.512
"72174","ENST00000614790.4",0,0,0,0,0,0,1.94167,0.5,0,0,0,0,0,0,0,0.5
"72306","ENST00000491571.5",0,0,0,0.254815,0,0,0,0,0,0,0,0,0,0,0,0
"72379","ENST00000600387.5",0,0.382651,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"72484","ENST00000613167.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"72515","ENST00000258111.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07766
"72640","ENST00000354757.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"72735","ENST00000566909.1",0,0,0,0,0,0,0,0,0,0.95797,0,0,0,0,0,0
"73150","ENST00000570867.5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"73275","ENST00000396065.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.70762
"73728","ENST00000290765.8",200.726,272.604,197.62,198.073,256.812,188.87,181.311,246.586,172.112,246.539,271.698,254.247,177.779,307.829,190.964,278.262
"73729","ENST00000404172.3",0,0.168798,0,0,0,0,25.031,0.266634,0.00204883,22.9377,0,1.65014e-08,0,6.95059e-05,0,0
"73776","ENST00000576720.1",0,0,0,0,0,1.00209,0,0,0,0,0,0,0,0,0,0
"73848","ENST00000215770.5",144.19,130.51,136.007,176.253,153.486,170.863,154.661,169.48,191.148,149.619,109.535,166.232,180.028,130.293,169.013,166.461
